activity_provider_id,type,price,rating
1,Guided Tour,199.51,4.8
2,Hiking,194.16,5.0
3,City Bike Tour,140.21,4.7
4,Culinary Class,119.0,4.3
5,Snorkeling,73.99,4.2
6,Winery Visit,147.72,4.7
7,Kayaking,51.34,4.4
8,Wildlife Safari,60.36,5.0
9,Photography Walk,162.57,4.2
10,Spa Session,108.92,4.4
11,Museum Entry,123.01,4.5
12,Cooking Demo,196.94,4.1
13,Historical Talk,179.16,4.1
14,Boat Cruise,91.67,4.7
15,Diving,106.16,4.4
16,Horseback Riding,93.7,4.6
17,Local Market Tour,42.56,4.3
18,Nature Trek,33.35,4.5
19,Mountain Biking,113.12,4.1
20,Zip Lining,169.23,4.6
21,Paragliding,125.8,4.8
22,Yoga Session,43.23,4.5
23,Cultural Show,176.28,4.8
24,Art Workshop,113.26,4.3
25,Surfing Class,49.15,4.9
26,Rock Climbing,60.58,4.9
27,Bird Watching,113.4,4.3
28,Helicopter Tour,34.19,4.2
29,Sailing,192.14,4.3
30,Stand-Up Paddle,132.5,4.6
